,開始時刻,終了時刻,左クリック,右クリック,打鍵回数,実行ファイル名,手動分類,候補1,候補2,候補3,自動推定,
,2013/05/22 09:49:30,2013/05/22 09:50:07,2,0,0,explorer.exe:Program Manager,テスト,,,,テスト,
,2013/05/22 09:50:07,2013/05/22 09:50:11,0,0,0,explorer.exe:エクスプローラ,テスト,,,,テスト,
,2013/05/22 09:50:11,2013/05/22 09:50:46,2,0,0,explorer.exe:antlr-2.7.2,テスト,,,,テスト,
,2013/05/22 09:50:46,2013/05/22 09:50:48,1,0,0,explorer.exe:マイ コンピュータ,テスト,,,,テスト,
,2013/05/22 09:50:48,2013/05/22 09:50:49,1,0,0,explorer.exe:WORKSHOP (E:),テスト,,,,テスト,
,2013/05/22 09:50:49,2013/05/22 09:50:52,2,0,0,explorer.exe:AIRS,テスト,,,,テスト,
,2013/05/22 09:50:52,2013/05/22 09:50:53,2,0,0,explorer.exe:AIRSForOVLY,テスト,,,,テスト,
,2013/05/22 09:50:53,2013/05/22 09:51:28,2,0,0,explorer.exe:AIRS_OVLY_VC2005,テスト,,,,テスト,
,2013/05/22 09:51:28,2013/05/22 09:51:35,0,0,0,devenv.exe:Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:51:37,2013/05/22 09:51:54,0,0,0,devenv.exe:Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:51:54,2013/05/22 09:52:03,0,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:52:03,2013/05/22 09:52:05,0,0,0,devenv.exe:ConvertStrategy.h,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:52:05,2013/05/22 09:53:56,0,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:54:47,2013/05/22 09:55:00,2,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:55:00,2013/05/22 09:57:48,0,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:59:04,2013/05/22 09:59:06,2,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 09:59:06,2013/05/22 09:59:08,2,0,0,explorer.exe:AIRS_OVLY_VC2005,テスト,,,,テスト,
,2013/05/22 09:59:08,2013/05/22 09:59:10,1,0,0,explorer.exe:WORKSHOP (E:),テスト,,,,テスト,
,2013/05/22 09:59:10,2013/05/22 09:59:21,1,0,0,explorer.exe:MAIN (G:),テスト,,,,テスト,
,2013/05/22 09:59:21,2013/05/22 09:59:29,1,0,0,explorer.exe:日本語,テスト,,,,テスト,
,2013/05/22 09:59:29,2013/05/22 09:59:40,1,0,0,explorer.exe:_Task,テスト,,,,テスト,
,2013/05/22 09:59:40,2013/05/22 10:00:00,0,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:00:00,2013/05/22 10:00:23,1,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:00:23,2013/05/22 10:00:57,1,0,0,explorer.exe:TEST,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:00:57,2013/05/22 10:00:59,1,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:00:59,2013/05/22 10:01:14,2,0,0,explorer.exe:TEST,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:01:14,2013/05/22 10:01:16,1,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:01:16,2013/05/22 10:01:23,2,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:01:23,2013/05/22 10:01:24,0,0,0,excel.exe:Microsoft Excel,テスト,,,,テスト,
,2013/05/22 10:01:24,2013/05/22 10:02:38,24,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:02:38,2013/05/22 10:05:00,17,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:05:00,2013/05/22 10:05:02,1,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:05:02,2013/05/22 10:05:16,4,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:05:17,2013/05/22 10:10:01,9,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:10:01,2013/05/22 10:10:24,3,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:10:24,2013/05/22 10:10:42,4,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:10:42,2013/05/22 10:12:48,15,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:12:48,2013/05/22 10:12:50,2,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:12:50,2013/05/22 10:12:51,1,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:12:51,2013/05/22 10:13:57,18,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:13:57,2013/05/22 10:14:00,2,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:14:00,2013/05/22 10:14:19,7,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
,2013/05/22 10:14:19,2013/05/22 10:14:31,5,0,0,explorer.exe:OVLY,テスト,,,,テスト,
,2013/05/22 10:14:31,2013/05/22 10:14:47,3,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:14:47,2013/05/22 10:14:48,0,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,プログラミング,,,,テスト,
,2013/05/22 10:14:48,2013/05/22 10:15:01,3,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:15:01,2013/05/22 10:15:24,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:15:24,2013/05/22 10:15:36,3,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,テスト,
,2013/05/22 10:15:36,2013/05/22 10:15:40,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,テスト,
,2013/05/22 10:15:40,2013/05/22 10:20:02,14,3,24,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:20:02,2013/05/22 10:24:46,10,0,8,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:25:18,2013/05/22 10:28:08,30,0,39,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:28:08,2013/05/22 10:28:21,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:28:21,2013/05/22 10:28:27,2,0,0,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:28:27,2013/05/22 10:28:28,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:28:46,2013/05/22 10:29:38,4,0,22,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:29:38,2013/05/22 10:30:02,0,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:30:02,2013/05/22 10:30:08,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,プログラミング,,,,プログラミング,
,2013/05/22 10:30:09,2013/05/22 10:30:46,20,0,2,devenv.exe:AIRS_OVLY - Microsoft Visual Studio,プログラミング,プログラミング,テスト,,プログラミング,
,2013/05/22 10:30:46,2013/05/22 10:30:51,2,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,プログラミング,
,2013/05/22 10:30:51,2013/05/22 10:30:53,1,0,0,explorer.exe:WORKSHOP (E:),テスト,,,,プログラミング,
,2013/05/22 10:30:53,2013/05/22 10:30:54,1,0,0,explorer.exe:AIRSForOVLY,テスト,,,,プログラミング,
,2013/05/22 10:30:54,2013/05/22 10:30:56,1,0,0,explorer.exe:AIRS_OVLY_VC2005,テスト,,,,プログラミング,
,2013/05/22 10:30:56,2013/05/22 10:30:58,1,0,0,explorer.exe:debug,テスト,,,,プログラミング,
,2013/05/22 10:30:58,2013/05/22 10:32:52,11,0,0,explorer.exe:release,テスト,,,,プログラミング,
