タスク名;開始時刻;終了時刻;左クリック;右クリック;打鍵回数;実行ファイル名;手動分類;候補1;候補2;候補3;自動推定
TaskPit;2013/05/22 09:04:31;2013/05/22 09:04:36;0;0;0;taskpit.exe:TaskPit;事務;事務;;;事務
ブラウザ;2013/05/22 09:04:37;2013/05/22 09:04:42;0;0;0;iexplore.exe:Windows Internet Explorer;余暇;;;;余暇
登録外;2013/05/22 09:04:42;2013/05/22 09:05:04;0;0;0;aliim.exe:阿里旺旺;余暇;余暇;;;余暇
登録外;2013/05/22 09:05:04;2013/05/22 09:05:17;1;0;0;aliim.exe:可儿18-阿里旺旺;余暇;余暇;;;余暇
ブラウザ;2013/05/22 09:05:17;2013/05/22 09:05:18;0;0;0;iexplore.exe:C:\Documents and Settings\luxiuhua.ACCES\スタート メニュー\プログラム\スタートアップ\Settings.xml - Windows Internet Explorer;余暇;;;;余暇
TaskPit;2013/05/22 09:05:18;2013/05/22 09:05:19;1;0;0;taskpit.exe:TaskPit;事務;事務;;;事務
ファイル操作;2013/05/22 09:05:19;2013/05/22 09:05:22;1;0;0;explorer.exe:スタート メニュー;事務;;;;事務
ファイル操作;2013/05/22 09:05:22;2013/05/22 09:05:23;0;0;0;explorer.exe:unknown;事務;;;;事務
ファイル操作;2013/05/22 09:05:23;2013/05/22 09:05:25;0;0;0;explorer.exe:エクスプローラ;事務;;;;事務
ファイル操作;2013/05/22 09:05:25;2013/05/22 09:05:54;3;0;0;explorer.exe:マイ ドキュメント;事務;;;;事務
ファイル操作;2013/05/22 09:05:54;2013/05/22 09:05:56;1;0;0;explorer.exe:スタート メニュー;事務;;;;事務
ファイル操作;2013/05/22 09:05:56;2013/05/22 09:06:03;0;0;0;explorer.exe:unknown;事務;;;;事務
登録外;2013/05/22 09:06:03;2013/05/22 09:06:31;2;0;0;msimn.exe:Outlook Express;事務;事務;;;事務
登録外;2013/05/22 09:06:31;2013/05/22 09:07:02;4;1;2;msimn.exe:加筑 - Outlook Express;事務;事務;;;事務
登録外;2013/05/22 09:07:02;2013/05/22 09:07:04;1;0;0;msimn.exe:李華山 - Outlook Express;事務;事務;;;事務
登録外;2013/05/22 09:07:04;2013/05/22 09:07:11;4;1;1;msimn.exe:滝沢 - Outlook Express;事務;事務;;;事務
登録外;2013/05/22 09:07:11;2013/05/22 09:07:40;6;1;1;msimn.exe:李華山 - Outlook Express;事務;事務;;;事務
ファイル操作;2013/05/22 09:07:40;2013/05/22 09:07:48;1;0;0;explorer.exe:スタート メニュー;事務;;;;事務
登録外;2013/05/22 09:07:48;2013/05/22 09:07:54;1;0;0;aliim.exe:?日焦点;余暇;余暇;;;余暇
登録外;2013/05/22 09:07:54;2013/05/22 09:07:58;1;0;0;msimn.exe:李華山 - Outlook Express;事務;事務;;;事務
ファイル操作;2013/05/22 09:07:59;2013/05/22 09:08:00;1;0;0;explorer.exe:マイ ドキュメント;事務;;;;事務
ファイル操作;2013/05/22 09:08:00;2013/05/22 09:08:15;0;0;0;explorer.exe:unknown;事務;;;;余暇
